MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
2,10,2,3,2,7,4,7.389056099,4,3,4,6,8,12,3,5,2,3,5,4,0.42988253
7,10,3,7,5,5,5,148.4131591,5,4,2,7,5,5,4,4,6,4,6,4,0.394408469
,5,5,5,4,4,4,2.718281828,2,4,4,5,7,2,5,4,4,9,4,3,0.321629569
6,3,4,3,5,3,4,20.08553692,4,6,6,6,6,5,6,6,5,6,10,3,0.334160781
3,5,8,4,8,5,4,148.4131591,6,2,7,3,3,4,5,8,10,5,4,4,0.300651297
,7,5,5,5,4,7,1096.633158,8,5,7,5,3,2,4,4,4,3,4,6,0.336961083
6,4,5,3,3,6,1,20.08553692,3,2,3,8,6,6,5,2,4,4,1,7,0.344326995
4,7,8,7,7,4,2,1096.633158,4,3,5,7,2,6,5,2,5,5,4,6,0.395639526
3,2,5,5,3,1,4,403.4287935,4,6,5,6,7,5,9,3,5,6,5,4,0.36673204
5,6,6,6,6,9,4,20.08553692,6,5,0,1,3,10,6,4,7,1,2,3,0.417988999
6,6,2,4,6,1,1,148.4131591,3,7,10,6,6,7,8,4,7,7,3,5,0.312150196
7,4,3,8,7,5,7,1096.633158,9,4,7,5,8,5,10,3,6,3,2,4,0.39898305
5,1,0,1,4,7,5,148.4131591,9,4,11,,5,3,6,2,4,4,8,3,0.422485181
8,2,3,3,6,2,5,403.4287935,4,9,5,5,6,4,3,7,4,9,3,5,0.358985791
,2,1,2,3,4,7,7.389056099,4,7,5,2,7,8,5,5,5,5,4,1,0.340422694
2,5,4,3,1,6,3,54.59815003,2,8,7,8,3,1,5,2,3,10,6,9,0.362379402
5,3,8,8,6,8,3,7.389056099,2,1,4,4,5,4,4,4,5,6,3,8,0.410437943
4,8,7,5,3,7,6,20.08553692,4,5,5,5,10,4,3,12,2,7,2,4,0.428665789
4,5,2,6,5,5,6,54.59815003,2,3,9,8,8,5,5,9,4,5,7,4,0.309182321
4,4,6,4,3,5,3,403.4287935,5,2,3,,4,2,6,6,4,5,3,6,0.373992625
1,3,1,8,5,5,4,2980.957987,3,3,4,7,3,2,3,4,2,6,5,2,0.389559425
2,5,6,6,8,7,7,1096.633158,8,2,7,4,4,7,6,10,9,3,2,3,0.302446653
,5,4,5,5,4,2,20.08553692,5,6,3,5,3,2,6,3,7,7,8,6,0.325374754
4,1,1,2,3,10,7,148.4131591,2,4,6,2,8,9,6,4,4,4,3,3,0.308758621
6,3,5,2,2,9,6,403.4287935,9,5,7,5,2,6,3,7,5,5,2,9,0.340651692
8,6,7,3,7,4,8,148.4131591,7,9,4,7,5,0,2,9,8,4,7,5,0.328756695
1,4,5,7,6,6,6,2980.957987,5,3,6,5,4,6,4,7,5,6,8,3,0.368152042
7,5,3,6,7,7,2,20.08553692,2,8,5,6,5,7,3,6,9,8,6,5,0.391747809
3,4,7,3,5,11,2,1096.633158,2,4,8,0,7,6,3,6,7,6,3,4,0.417910457
6,2,2,7,5,2,5,148.4131591,6,3,4,6,9,7,5,7,3,4,3,4,0.342603267
4,3,9,2,3,6,2,2.718281828,6,4,3,4,6,3,3,2,7,5,6,8,0.3070569
2,9,9,6,6,5,3,2.718281828,8,5,4,0,4,0,4,6,7,9,8,6,0.300538744
4,3,3,11,6,5,3,1096.633158,4,2,6,4,2,4,6,8,2,5,6,7,0.418237234
4,5,4,5,4,7,3,20.08553692,6,9,2,5,7,7,4,4,4,6,4,3,0.422938972
8,2,8,5,3,3,5,403.4287935,7,3,7,5,10,6,10,5,4,5,4,1,0.314138972
4,9,9,7,4,7,8,403.4287935,5,9,3,2,2,4,5,5,5,4,4,4,0.301424629
6,10,8,5,3,4,4,8103.083928,2,6,5,,3,7,2,6,3,8,3,5,0.412037169
1,7,6,4,3,7,7,148.4131591,1,5,7,4,8,7,7,5,3,5,3,6,0.389701927
5,7,5,0,1,5,6,403.4287935,3,5,5,9,4,6,8,6,3,9,4,7,0.377860228
4,1,5,2,3,3,3,1,6,6,4,,4,3,5,2,5,5,3,8,0.374648416
2,8,6,4,5,2,2,20.08553692,5,6,6,4,6,2,7,8,6,4,2,4,0.408326395
,5,4,7,8,7,6,20.08553692,7,3,7,7,3,5,3,5,7,2,4,3,0.341064015
7,4,8,11,9,3,3,20.08553692,2,1,4,4,5,5,8,4,5,7,4,6,0.354476051
2,8,7,6,6,7,4,20.08553692,7,4,4,5,2,7,2,0,1,3,9,0,0.310899158
6,3,3,8,4,2,5,20.08553692,4,7,5,7,3,3,2,6,3,7,7,2,0.379258156
5,6,4,7,5,10,4,1096.633158,9,5,3,4,5,4,5,5,6,1,5,6,0.434513613
,3,6,5,4,6,4,148.4131591,7,4,4,9,1,6,2,8,4,3,4,9,0.33973903
9,6,7,5,5,3,3,403.4287935,3,8,5,2,3,4,6,3,5,9,5,2,0.430094963
4,8,4,3,5,6,7,1096.633158,4,8,5,6,6,6,3,5,5,9,5,3,0.402089036
3,1,5,3,4,5,1,20.08553692,4,3,5,4,5,5,5,3,5,4,6,1,0.332743133
5,4,5,1,5,3,6,148.4131591,3,5,3,5,5,4,11,4,6,3,2,3,0.39279961
8,3,4,6,9,4,7,8103.083928,4,2,6,5,8,4,7,5,7,3,0,5,0.351272757
7,6,1,8,9,4,6,54.59815003,2,6,9,2,6,5,4,4,9,4,6,8,0.317122283
6,5,1,2,5,3,7,2.718281828,5,1,3,3,7,10,8,4,4,5,4,3,0.312981039
4,6,10,5,10,4,8,148.4131591,5,6,3,2,4,8,3,7,10,7,9,1,0.302411851
6,2,9,3,4,5,5,20.08553692,2,7,1,4,4,11,8,1,4,7,2,4,0.411693188
8,9,6,5,2,2,6,2.718281828,7,6,5,9,9,5,6,6,2,8,6,5,0.423878966
6,5,4,6,6,9,4,54.59815003,5,7,4,5,4,11,9,6,7,5,2,3,0.367555364
8,6,3,5,6,4,5,148.4131591,9,7,5,7,6,6,11,2,4,5,5,6,0.372789606
9,5,5,3,6,6,6,8103.083928,6,5,3,11,2,6,3,5,10,5,5,7,0.396822074
4,4,8,7,6,5,3,22026.46579,4,5,7,5,7,1,5,5,5,2,4,7,0.398127172
3,1,4,6,4,7,3,8103.083928,7,8,6,5,4,4,6,5,5,1,8,4,0.345377885
,3,5,4,4,8,4,403.4287935,6,2,5,2,4,1,4,6,2,2,3,4,0.32228546
5,5,3,4,6,5,8,148.4131591,10,8,6,9,1,2,1,2,7,5,4,4,0.36025841
6,2,5,4,6,2,4,8103.083928,6,5,5,6,8,5,6,2,10,4,3,4,0.397581896
6,8,5,6,4,5,6,20.08553692,3,8,8,5,5,6,6,6,2,7,7,7,0.412589148
8,5,4,6,7,2,8,7.389056099,4,3,10,8,7,5,6,6,7,4,3,7,0.312482726
4,7,6,5,6,3,9,54.59815003,6,7,3,6,5,8,4,3,6,3,4,3,0.382364024
5,3,7,4,3,9,5,148.4131591,6,3,4,4,1,5,6,8,6,6,5,4,0.307573615
3,3,3,4,6,10,7,54.59815003,5,7,7,5,3,3,4,8,7,4,9,3,0.415469166
,5,8,5,5,3,4,54.59815003,3,5,3,5,4,3,3,5,5,12,5,5,0.393352891
4,10,7,5,7,8,4,7.389056099,4,8,10,5,6,8,10,5,9,1,9,6,0.397527607
2,3,10,8,5,6,3,148.4131591,7,4,3,2,3,5,7,5,3,2,4,5,0.40664058
2,4,5,3,4,7,5,54.59815003,7,5,3,6,6,3,3,8,5,4,7,5,0.36938993
5,8,6,4,3,7,2,403.4287935,6,10,5,4,5,6,10,2,5,7,4,6,0.341845707
6,5,3,3,4,4,9,7.389056099,6,4,4,4,7,4,6,5,3,9,5,4,0.409992965
6,9,3,5,6,8,4,54.59815003,2,4,4,5,3,7,7,6,4,4,9,7,0.40883173
,6,7,6,6,7,7,54.59815003,2,7,5,3,9,7,2,6,2,6,5,3,0.318892054
3,4,5,4,5,7,4,2.718281828,7,5,7,3,6,5,2,7,3,7,2,7,0.426386725
8,3,8,3,6,5,5,148.4131591,7,3,3,7,4,5,3,1,8,5,6,5,0.330969809
4,6,2,8,7,3,6,54.59815003,7,5,4,3,3,8,3,3,7,3,1,6,0.342904308
6,4,3,4,6,6,4,148.4131591,5,6,3,6,4,7,2,6,6,4,1,5,0.330228291
7,6,7,5,4,6,3,403.4287935,8,6,3,3,9,8,8,1,4,2,5,6,0.43518361
7,6,6,2,4,4,5,148.4131591,2,7,2,7,6,6,3,5,7,11,8,4,0.341924595
5,5,5,3,4,7,1,54.59815003,8,2,3,7,6,4,7,2,4,6,3,7,0.435996362
6,3,1,5,3,5,1,2.718281828,6,2,8,,3,4,8,2,1,4,4,3,0.389311422
1,5,8,5,6,3,5,1096.633158,3,6,6,7,3,4,4,3,3,7,4,8,0.32471905
3,3,6,4,3,1,6,403.4287935,3,8,5,4,8,6,4,5,1,6,2,6,0.377537981
2,9,7,7,3,7,9,8103.083928,5,7,3,3,2,6,4,6,1,4,3,8,0.423517004
1,4,3,5,6,8,4,8103.083928,5,9,5,0,3,2,3,6,7,3,2,9,0.37863447
4,7,3,4,4,2,5,148.4131591,8,5,4,1,2,2,4,2,4,6,5,4,0.31856337
5,8,3,3,4,5,4,148.4131591,5,5,8,5,11,5,7,7,7,5,7,7,0.340170923
6,2,5,7,4,3,4,20.08553692,6,3,11,5,8,4,10,3,4,3,6,7,0.331473034
6,3,4,3,4,6,6,20.08553692,3,3,9,8,6,11,4,7,5,5,6,1,0.317619785
5,5,13,2,5,4,4,2980.957987,5,3,10,4,4,3,3,2,4,7,6,7,0.345820096
3,7,4,6,6,1,4,1096.633158,6,3,6,5,4,7,7,8,8,7,4,5,0.392548786
5,4,5,7,7,5,4,7.389056099,4,6,6,3,6,4,2,4,6,4,4,4,0.353551377
5,5,6,4,5,6,8,2980.957987,5,6,5,4,7,5,5,5,8,4,6,1,0.362132243
4,6,3,3,7,5,5,54.59815003,7,7,6,6,5,6,5,7,7,7,5,5,0.344892353
7,2,8,5,8,4,2,2980.957987,5,3,3,6,4,3,4,3,9,6,7,4,0.439226054
5,1,3,6,7,3,6,403.4287935,4,8,3,3,4,11,8,5,8,3,4,7,0.38206768
5,2,4,3,4,3,4,7.389056099,5,4,1,5,1,5,9,2,4,3,3,7,0.416743538
4,3,6,3,3,5,5,7.389056099,5,2,5,4,2,7,6,5,4,2,2,11,0.361786061
4,5,6,6,7,3,4,7.389056099,5,9,7,4,3,8,6,4,8,1,4,2,0.323609226
5,2,5,2,6,3,4,54.59815003,5,5,6,5,4,1,2,4,9,7,4,2,0.418553071
4,3,4,2,8,2,3,1096.633158,7,4,3,1,2,9,5,6,9,3,5,7,0.406880833
9,6,5,6,6,4,4,59874.14172,7,3,7,,3,7,5,3,6,4,4,7,0.346173257
6,9,6,7,3,13,4,20.08553692,11,2,6,8,7,6,7,4,3,3,2,5,0.384898464
4,7,2,9,5,2,3,20.08553692,5,7,12,,5,7,9,4,4,5,5,4,0.313085533
10,1,5,1,3,3,7,7.389056099,3,7,6,,6,2,5,2,5,5,9,5,0.303685138
4,1,7,5,2,4,4,1096.633158,7,4,10,7,3,4,4,9,0,6,4,1,0.414206289
5,4,5,4,6,6,5,2980.957987,6,6,4,8,4,4,3,4,6,2,10,4,0.431869912
4,3,6,7,6,4,2,54.59815003,6,0,7,3,3,5,6,5,6,9,6,6,0.348168356
5,8,5,4,4,10,4,1096.633158,5,5,7,9,5,2,4,6,3,6,4,4,0.383660241
4,3,4,5,7,7,5,2980.957987,5,5,4,5,6,5,9,6,10,6,4,2,0.400420787
3,5,6,3,2,6,9,22026.46579,3,5,6,3,6,6,0,3,2,7,6,0,0.404445956
3,8,7,2,3,5,2,20.08553692,5,5,5,6,7,6,5,12,2,4,5,3,0.367349973
7,4,3,4,4,4,8,54.59815003,5,3,4,6,8,5,6,9,3,5,10,2,0.385859512
7,1,8,4,3,9,7,54.59815003,7,8,4,5,4,5,4,4,5,7,8,6,0.391987382
6,10,4,6,7,2,5,403.4287935,4,4,4,2,11,8,8,5,6,4,4,6,0.314455742
6,2,3,4,8,7,3,148.4131591,6,8,8,5,4,6,5,8,6,3,1,4,0.390315486
5,7,2,7,7,6,4,54.59815003,4,7,1,4,4,3,5,2,10,6,8,7,0.371520075
4,8,7,0,3,8,6,20.08553692,6,5,3,6,8,5,9,6,6,4,5,3,0.352989934
7,5,6,8,5,7,4,54.59815003,6,1,2,5,5,6,2,3,5,7,4,4,0.336643068
2,7,2,4,4,3,6,1096.633158,7,3,2,7,4,1,7,3,5,4,5,6,0.389308724
3,2,6,7,7,11,7,403.4287935,3,9,4,7,3,7,4,7,6,7,8,2,0.323346249
6,5,9,4,6,2,4,162754.7914,4,4,5,5,5,10,8,4,7,2,1,7,0.413516935
5,5,7,2,3,5,10,54.59815003,3,1,4,3,7,4,7,9,5,6,6,8,0.324051632
9,5,8,5,6,5,3,7.389056099,3,3,9,4,4,4,6,8,5,3,3,6,0.408026422
6,7,4,8,6,5,4,403.4287935,6,4,3,1,5,8,4,4,3,5,2,3,0.414438403
6,2,4,5,7,3,4,2.718281828,5,7,3,4,7,4,5,8,5,5,5,5,0.431551577
6,6,4,9,7,4,3,2980.957987,7,9,4,3,6,5,5,4,4,8,8,5,0.364860752
3,9,6,7,7,4,5,54.59815003,2,1,8,4,3,4,5,3,6,3,7,6,0.308916187
6,6,7,3,5,6,3,54.59815003,5,4,5,6,5,4,5,5,5,5,2,5,0.394875483
3,2,4,6,7,3,3,1096.633158,3,2,3,5,3,2,10,7,5,3,4,6,0.339567148
5,6,7,5,5,4,5,403.4287935,6,6,4,8,2,3,5,5,4,6,2,7,0.312981719
8,3,10,4,7,6,8,1096.633158,4,2,8,,5,3,9,3,8,4,7,9,0.419807232
,6,5,3,5,5,6,403.4287935,9,6,5,6,6,6,7,6,5,2,8,6,0.319563232
4,9,6,4,5,4,2,148.4131591,1,3,5,3,5,7,7,4,7,3,4,9,0.370891973
6,6,2,3,5,4,2,1096.633158,10,7,8,8,4,4,4,7,5,4,6,3,0.41039162
,6,2,3,6,5,3,20.08553692,4,5,6,5,8,3,4,9,6,2,7,4,0.327873148
3,6,10,6,7,5,10,7.389056099,2,5,2,3,2,6,4,5,6,2,4,5,0.425528962
5,4,5,8,5,5,4,2.718281828,7,7,5,5,8,3,8,13,5,3,7,4,0.346422219
3,10,5,3,2,8,8,59874.14172,4,5,6,4,3,5,3,12,3,6,6,3,0.355498445
5,6,3,6,5,2,5,148.4131591,7,2,3,6,9,6,4,3,1,8,6,3,0.318409085
4,7,3,5,3,8,7,148.4131591,3,1,6,4,5,9,5,2,4,8,8,11,0.390224376
7,7,4,7,6,4,5,54.59815003,4,5,9,9,6,9,6,0,7,4,7,2,0.369344265
4,6,3,5,5,1,5,148.4131591,4,2,8,4,5,2,12,9,4,3,1,3,0.436382459
3,2,7,7,3,8,6,2980.957987,2,4,7,7,8,9,5,7,1,7,3,4,0.397766174
7,5,2,4,10,4,6,20.08553692,9,3,7,5,4,7,7,4,10,1,5,4,0.406258863
2,4,7,4,4,1,3,8103.083928,3,6,5,5,3,3,2,3,6,5,4,4,0.327871838
5,6,3,11,10,5,6,54.59815003,7,4,5,3,6,4,6,3,6,7,5,8,0.399788003
6,7,5,2,2,4,7,54.59815003,4,5,2,6,2,6,3,3,6,3,6,5,0.37803523
4,3,5,4,5,4,5,20.08553692,2,7,5,6,6,4,7,2,6,6,4,6,0.356536593
5,5,5,6,5,8,10,54.59815003,4,3,2,2,5,4,6,4,4,3,2,3,0.40957232
4,4,6,1,1,2,4,1096.633158,6,4,9,4,3,11,3,6,1,2,4,6,0.436996633
6,7,5,4,5,5,0,20.08553692,3,6,10,7,5,7,8,1,6,4,7,5,0.313269422
5,7,6,6,6,5,11,403.4287935,5,1,5,9,9,2,3,2,7,9,3,8,0.410444526
4,1,4,3,4,5,9,148.4131591,5,3,6,5,7,5,2,3,6,4,5,6,0.428727133
4,4,4,4,6,6,6,148.4131591,4,5,4,2,2,9,6,1,5,3,7,8,0.344126027
7,2,2,3,4,6,4,2980.957987,3,5,5,5,8,6,6,4,3,5,8,7,0.350823098
5,6,7,6,7,6,6,403.4287935,2,5,5,4,5,4,4,10,9,8,7,3,0.411268101
2,8,7,5,4,5,11,20.08553692,7,2,3,7,6,6,5,4,4,4,3,11,0.433509932
4,6,3,3,3,6,2,2980.957987,9,11,6,6,3,1,2,8,3,6,4,7,0.431448896
4,2,3,3,4,6,4,54.59815003,4,2,5,5,6,3,3,4,7,8,7,5,0.307787703
7,4,5,7,2,3,4,2980.957987,7,4,6,4,8,5,5,2,1,11,5,3,0.42199995
2,8,4,2,3,5,4,403.4287935,2,3,2,5,8,7,7,2,5,6,2,5,0.382103491
4,6,5,7,6,3,3,22026.46579,7,9,5,5,2,8,3,3,5,7,6,7,0.358957721
2,4,3,1,4,3,3,403.4287935,1,4,1,7,0,6,6,5,4,2,3,7,0.418374776
4,4,6,8,9,6,3,148.4131591,5,3,8,4,5,5,6,4,8,1,5,4,0.412060712
6,4,5,5,6,8,6,7.389056099,5,4,4,6,4,3,7,3,8,3,8,6,0.371308807
3,4,10,2,4,3,4,54.59815003,7,4,5,4,4,4,2,9,6,2,8,3,0.357500864
3,3,7,5,5,5,8,403.4287935,3,8,3,4,6,5,2,5,5,8,3,10,0.366146255
4,4,6,4,4,0,5,54.59815003,5,5,0,6,10,5,5,3,4,6,3,5,0.344569958
8,2,3,4,3,5,7,20.08553692,3,2,8,6,4,6,2,5,2,3,5,6,0.395272878
5,5,10,7,3,3,5,7.389056099,4,5,7,7,7,4,4,8,0,10,4,6,0.424884698
4,4,4,7,8,2,3,1096.633158,3,2,2,2,3,7,2,6,8,7,4,9,0.335070005
6,4,1,5,4,4,8,20.08553692,6,2,5,3,9,5,4,9,3,5,8,3,0.415571094
5,3,6,5,6,3,4,2.718281828,3,2,7,2,7,7,6,7,4,5,9,3,0.350504204
2,6,13,3,3,5,1,2980.957987,8,4,4,6,6,7,7,6,5,6,4,6,0.318456043
5,4,6,3,4,3,3,403.4287935,2,7,2,5,3,5,5,8,1,7,3,3,0.305669306
7,3,7,4,4,5,4,54.59815003,8,5,4,4,5,7,3,2,2,8,4,6,0.367110615
7,4,4,5,3,1,5,20.08553692,9,10,6,6,3,4,5,5,2,9,4,5,0.379563895
2,3,5,6,4,5,7,1096.633158,5,2,5,6,5,4,4,7,4,8,11,8,0.300844706
6,5,1,5,5,2,4,59874.14172,8,8,2,5,4,5,4,8,6,4,6,5,0.391367738
4,6,5,3,3,4,2,54.59815003,5,4,11,10,7,4,4,12,3,5,5,16,0.372594123
5,8,5,7,6,6,9,54.59815003,4,5,2,3,2,6,7,4,4,5,10,6,0.439638247
1,6,4,3,7,6,2,2980.957987,4,3,4,6,4,1,2,8,6,5,5,4,0.314632184
2,8,5,4,5,2,4,148.4131591,2,8,7,10,1,6,4,4,6,2,5,5,0.398702673
,3,0,7,6,4,6,148.4131591,6,2,7,5,4,6,5,3,3,6,1,4,0.33038449
2,3,6,5,8,3,8,148.4131591,8,4,4,8,5,5,2,8,11,2,5,4,0.328887893
6,4,6,3,8,4,3,148.4131591,7,2,7,9,5,5,3,6,7,4,2,9,0.302620657
3,6,5,10,2,3,5,1096.633158,4,4,5,7,12,3,6,7,1,5,5,3,0.300916112
3,5,5,3,7,3,5,54.59815003,5,7,4,4,7,5,4,3,7,4,6,2,0.326127179
6,4,2,4,4,7,3,403.4287935,6,7,6,5,6,2,4,9,4,8,6,10,0.324570341
6,0,7,8,6,5,8,1096.633158,3,8,5,8,2,1,12,3,5,4,4,9,0.300061235
8,6,6,11,5,6,7,7.389056099,7,3,4,4,4,3,1,4,5,4,3,5,0.400400866
11,3,3,1,4,4,8,20.08553692,6,5,6,3,9,3,0,5,8,2,2,3,0.370514294
2,3,6,9,4,6,6,54.59815003,5,6,3,4,4,3,7,7,5,4,5,7,0.355460367
5,2,7,5,4,6,5,54.59815003,7,6,7,2,5,3,5,8,3,2,2,5,0.314531202
6,3,5,3,3,2,7,54.59815003,7,7,3,8,6,2,5,3,5,4,4,7,0.34674575
5,5,5,4,8,9,5,2980.957987,1,3,5,3,9,3,4,9,9,3,2,4,0.365882522
3,2,3,5,5,3,7,54.59815003,5,4,10,7,5,10,2,3,2,6,3,8,0.439726699
8,4,4,2,1,4,6,403.4287935,4,2,8,5,5,2,4,4,1,8,7,6,0.371483935
,8,5,4,3,8,4,22026.46579,6,9,7,5,5,7,5,6,4,6,9,6,0.302731174
3,6,2,12,7,7,2,8103.083928,10,5,7,5,6,3,3,2,3,8,3,5,0.329083819
1,3,2,2,2,3,3,1096.633158,2,4,3,8,1,5,8,5,4,2,7,3,0.349633034
6,3,4,5,1,2,8,2.718281828,3,4,7,5,2,8,7,4,2,6,4,2,0.363829707
3,6,4,6,3,3,1,1096.633158,11,1,2,8,7,4,3,7,4,3,9,6,0.394399176
4,4,7,5,4,8,4,7.389056099,2,5,4,4,4,5,5,2,2,4,3,3,0.382683013
3,9,4,4,5,3,2,148.4131591,5,4,4,5,6,6,6,6,4,5,5,5,0.3712971
0,3,5,8,4,4,6,54.59815003,4,4,6,5,2,2,7,3,4,3,7,3,0.417305213
5,8,3,7,10,2,8,59874.14172,5,6,4,9,4,7,2,4,7,4,4,7,0.327474865
5,10,6,7,8,6,4,54.59815003,7,6,6,4,2,1,10,3,10,4,8,6,0.310903126
6,5,6,4,4,1,7,148.4131591,7,7,1,2,2,3,7,4,6,7,6,6,0.417348635
5,9,1,4,8,3,4,1096.633158,4,1,6,4,5,6,4,6,10,3,6,5,0.364702993
,3,7,6,4,4,9,1096.633158,3,3,5,8,13,6,5,7,3,5,8,4,0.377469595
4,3,3,4,5,6,5,7.389056099,5,6,7,1,5,2,4,4,4,5,5,2,0.417233838
4,6,3,3,3,5,8,2980.957987,3,2,6,7,4,3,6,2,4,8,2,7,0.432413991
3,9,6,3,5,4,5,403.4287935,2,8,3,0,9,3,6,3,4,5,7,5,0.3772801
7,1,3,3,8,1,4,148.4131591,3,5,4,5,6,7,4,3,10,14,9,6,0.413715915
7,7,5,6,10,9,9,2980.957987,5,9,4,2,3,5,7,2,11,4,2,4,0.376269644
4,4,3,5,5,10,2,54.59815003,7,6,9,8,6,5,5,2,6,4,7,3,0.304665335
5,5,4,6,6,5,7,148.4131591,5,9,9,4,6,4,3,3,4,5,5,3,0.433820198
3,2,7,2,5,3,4,148.4131591,2,6,5,5,3,3,11,4,9,4,3,6,0.414487395
7,5,2,6,5,7,5,148.4131591,6,4,4,3,5,5,8,7,3,7,3,0,0.405479106
5,4,6,5,5,4,5,1096.633158,2,5,3,2,2,3,10,11,5,8,2,10,0.361855603
,6,3,6,6,5,6,1096.633158,2,4,9,5,2,6,5,3,4,6,8,7,0.431956315
6,9,3,5,5,7,3,54.59815003,4,5,3,4,2,3,2,3,5,4,5,9,0.368578496
6,3,9,5,5,6,1,22026.46579,3,5,7,3,0,3,2,10,4,2,7,6,0.400910134
2,6,4,2,4,7,5,2.718281828,2,6,11,5,5,1,6,10,6,1,5,6,0.314082952
,3,8,8,4,2,3,20.08553692,9,5,6,5,4,3,3,4,2,4,3,2,0.330640536
6,9,7,5,3,7,5,7.389056099,4,6,10,4,3,5,7,4,3,3,6,4,0.359388771
6,4,3,3,6,7,5,54.59815003,6,5,5,5,5,3,6,6,7,8,4,3,0.381381719
2,3,3,3,3,6,14,403.4287935,3,6,6,5,2,3,4,4,4,5,5,5,0.412777649
3,5,2,3,4,4,5,148.4131591,11,0,12,3,4,4,5,5,5,4,6,4,0.333722065
3,7,5,3,1,4,9,20.08553692,6,10,7,3,6,0,4,3,0,4,4,0,0.40840981
4,1,3,10,6,3,6,2980.957987,5,2,5,2,5,1,7,1,3,7,5,7,0.424598905
5,5,6,6,6,6,3,148.4131591,3,4,8,9,4,7,4,5,5,6,4,5,0.414583039
2,3,5,6,4,6,4,403.4287935,4,3,5,6,5,2,6,4,2,5,3,5,0.387137865
3,4,7,1,0,4,5,403.4287935,5,3,8,7,5,3,4,4,2,5,4,2,0.413398951
4,6,3,3,3,7,3,20.08553692,3,2,6,2,5,5,1,4,6,1,3,7,0.422850287
5,6,9,9,7,8,6,2980.957987,5,4,8,4,5,2,7,5,6,4,4,3,0.377714015
4,6,2,11,5,7,5,148.4131591,2,5,4,3,2,6,7,4,2,7,4,2,0.413422595
,4,5,2,2,5,9,148.4131591,2,3,3,4,4,8,2,3,2,4,3,8,0.35895769
9,6,4,3,5,8,7,403.4287935,7,5,4,5,1,8,3,3,8,4,4,4,0.373146988
5,6,5,7,5,7,8,148.4131591,3,4,5,5,4,6,3,5,5,2,4,4,0.307365681
,8,8,4,4,9,2,54.59815003,8,6,11,5,10,2,2,4,5,2,6,2,0.423688609
3,5,7,5,5,2,7,22026.46579,5,8,4,3,4,6,3,4,3,3,10,5,0.319651906
5,3,6,5,8,8,11,148.4131591,11,6,7,4,2,4,8,3,7,7,6,5,0.338667476
6,5,4,4,7,6,4,403.4287935,1,4,6,4,13,6,2,6,9,5,4,6,0.344444817
3,4,4,6,5,6,4,59874.14172,5,5,12,6,6,6,8,5,3,5,3,9,0.316226103
5,7,6,3,8,3,5,403.4287935,3,11,4,4,9,3,6,3,7,4,5,5,0.429045481
2,5,4,2,3,5,8,20.08553692,3,7,4,1,6,3,3,6,6,6,3,8,0.435804712
5,6,3,4,6,6,6,1202604.284,2,3,8,7,6,3,8,7,5,7,6,2,0.421127558
5,4,8,9,5,6,10,2.718281828,10,3,7,5,7,5,6,5,5,2,5,3,0.348491096
9,4,2,10,1,6,7,403.4287935,7,4,5,8,6,6,6,4,1,7,2,2,0.307733172
,5,6,3,2,5,6,403.4287935,4,6,6,5,7,2,7,7,1,4,5,4,0.325604806
2,6,3,8,9,5,7,7.389056099,10,3,4,4,2,3,5,7,6,9,7,0,0.408093988
4,7,6,4,5,3,6,2980.957987,6,7,4,4,3,6,3,4,6,3,8,2,0.340036393
6,3,2,4,5,4,2,148.4131591,4,4,7,6,7,6,5,2,4,2,9,11,0.424964738
3,7,11,3,0,3,7,403.4287935,3,11,14,3,2,1,5,9,0,5,2,5,0.416918177
4,6,6,5,4,6,4,148.4131591,6,6,5,3,4,2,5,5,5,1,4,7,0.333172338
9,7,2,9,8,2,4,20.08553692,7,2,4,5,4,7,8,4,6,9,1,2,0.397083638
5,2,4,2,3,8,4,403.4287935,10,5,6,6,9,6,5,5,5,4,7,5,0.361921255
2,11,5,2,4,9,4,54.59815003,4,5,5,8,7,4,5,6,6,2,5,9,0.3300926
1,6,6,4,5,3,4,7.389056099,4,4,4,2,2,7,3,7,6,5,5,12,0.38261574
2,5,5,4,6,4,6,59874.14172,3,6,5,4,2,2,8,6,5,4,2,8,0.417230366
6,6,4,4,6,1,3,20.08553692,5,4,5,8,5,4,2,6,5,8,6,9,0.429751056
3,8,4,6,4,6,4,7.389056099,8,4,5,3,8,5,6,3,3,0,4,5,0.308222062
9,5,6,5,6,7,6,20.08553692,7,5,6,8,4,8,8,6,7,4,4,2,0.358622887
4,10,5,8,9,4,6,7.389056099,6,5,1,4,11,5,4,10,10,7,6,5,0.384618988
4,6,3,1,5,7,5,148.4131591,5,4,7,7,2,7,7,2,7,8,8,5,0.347318744
8,6,6,6,3,5,5,20.08553692,8,4,3,6,7,4,6,2,3,6,5,3,0.344472885
0,4,2,7,2,6,7,7.389056099,5,3,5,,8,9,8,5,2,1,5,3,0.408070709
2,8,8,5,3,7,2,54.59815003,5,7,4,9,10,3,5,2,2,6,1,5,0.409551077
3,3,6,2,5,7,5,22026.46579,4,8,4,4,2,4,4,5,8,10,8,10,0.402048975
